State,State Code,Region,Division,2019 population
Alaska,AK,West,Pacific,4903185
Alabama,AL,South,East South Central,731545
Arkansas,AR,South,West South Central,7278717
Arizona,AZ,West,Mountain,3017804
California,CA,West,Pacific,39512223
Colorado,CO,West,Mountain,5758736
Connecticut,CT,Northeast,New England,3565287
District of Columbia,DC,South,South Atlantic,973764
Delaware,DE,South,South Atlantic,705749
Florida,FL,South,South Atlantic,21477737
Georgia,GA,South,South Atlantic,10617423
Hawaii,HI,West,Pacific,1415872
Iowa,IA,Midwest,West North Central,1787065
Idaho,ID,West,Mountain,12671821
Illinois,IL,Midwest,East North Central,6732219
Indiana,IN,Midwest,East North Central,3155070
Kansas,KS,Midwest,West North Central,2913314
Kentucky,KY,South,East South Central,4467673
Louisiana,LA,South,West South Central,4648794
Massachusetts,MA,Northeast,New England,1344212
Maryland,MD,South,South Atlantic,6045680
Maine,ME,Northeast,New England,6892503
Michigan,MI,Midwest,East North Central,9986857
Minnesota,MN,Midwest,West North Central,5639632
Missouri,MO,Midwest,West North Central,2976149
Mississippi,MS,South,East South Central,6137428
Montana,MT,West,Mountain,1068778
North Carolina,NC,South,South Atlantic,1934408
North Dakota,ND,Midwest,West North Central,3080156
Nebraska,NE,Midwest,West North Central,1359711
New Hampshire,NH,Northeast,New England,8882190
New Jersey,NJ,Northeast,Middle Atlantic,2096829
New Mexico,NM,West,Mountain,19453561
Nevada,NV,West,Mountain,10488084
New York,NY,Northeast,Middle Atlantic,762062
Ohio,OH,Midwest,East North Central,11689100
Oklahoma,OK,South,West South Central,3956971
Oregon,OR,West,Pacific,4217737
Pennsylvania,PA,Northeast,Middle Atlantic,12801989
Rhode Island,RI,Northeast,New England,1059361
South Carolina,SC,South,South Atlantic,5148714
South Dakota,SD,Midwest,West North Central,884659
Tennessee,TN,South,East South Central,6829174
Texas,TX,South,West South Central,28995881
Utah,UT,West,Mountain,3205958
Virginia,VA,South,South Atlantic,623989
Vermont,VT,Northeast,New England,8535519
Washington,WA,West,Pacific,7614893
Wisconsin,WI,Midwest,East North Central,1792147
West Virginia,WV,South,South Atlantic,5822434
Wyoming,WY,West,Mountain,578759
